User nb,method,density,targets Size,time to select,selected
1,Highlight,30,6,1.1969234943389893,1
1,Highlight,30,6,1.9039647579193115,1
1,Highlight,30,6,1.3442847728729248,0
1,Highlight,30,6,0.8533909320831299,0
1,Highlight,30,6,0.44570016860961914,1
1,Highlight,30,6,1.6136436462402344,0
1,Highlight,30,6,1.4242010116577148,1
1,Highlight,30,6,1.7437121868133545,1
1,Highlight,30,12,1.4495625495910645,0
1,Highlight,30,12,0.48218822479248047,1
1,Highlight,30,12,0.8390476703643799,1
1,Highlight,30,12,0.9168741703033447,1
1,Highlight,30,12,1.1002988815307617,1
1,Highlight,30,12,1.1646637916564941,1
1,Highlight,30,18,1.1908519268035889,1
1,Highlight,30,18,1.768564224243164,1
1,Highlight,30,18,2.1691408157348633,1
1,Highlight,30,18,1.1566076278686523,1
1,Highlight,30,18,3.805467128753662,0
1,Highlight,30,18,4.358585834503174,0
1,Highlight,30,18,0.6519885063171387,0
1,Bubble,30,6,1.7573132514953613,1
1,Bubble,30,6,2.727949619293213,1
1,Bubble,30,6,1.0488150119781494,1
1,Bubble,30,6,1.2754104137420654,1
1,Bubble,30,6,1.239741563796997,1
1,Bubble,30,12,0.9109382629394531,1
1,Bubble,30,12,1.4401237964630127,1
1,Bubble,30,12,1.7837345600128174,0
1,Bubble,30,12,0.5103182792663574,1
1,Bubble,30,12,0.8085119724273682,1
1,Bubble,30,12,0.886929988861084,1
1,Bubble,30,18,1.0636053085327148,1
1,Bubble,30,18,10.843474864959717,0
1,Bubble,30,18,0.44104909896850586,0
1,Bubble,30,18,0.1821455955505371,1
1,Bubble,30,18,0.37508058547973633,0
1,Bubble,30,18,0.7321140766143799,1
1,Bubble,30,18,2.565948486328125,1
1,Bubble,30,18,1.3538856506347656,1
1,Rope,30,6,1.0848400592803955,1
1,Rope,30,6,1.2666771411895752,1
1,Rope,30,6,1.710547685623169,1
1,Rope,30,6,0.9420225620269775,1
1,Rope,30,6,1.039280652999878,1
1,Rope,30,12,1.082841157913208,1
1,Rope,30,12,0.9094455242156982,1
1,Rope,30,12,0.6319277286529541,1
1,Rope,30,12,1.2096681594848633,1
1,Rope,30,12,1.4122636318206787,1
1,Rope,30,18,1.0153439044952393,1
1,Rope,30,18,0.6441049575805664,1
1,Rope,30,18,0.6731371879577637,1
1,Rope,30,18,1.261509656906128,0
1,Rope,30,18,0.5006494522094727,1
1,Rope,30,18,0.8787276744842529,1
1,Highlight,60,6,1.5782239437103271,0
1,Highlight,60,6,0.5831880569458008,1
1,Highlight,60,6,1.9585132598876953,1
1,Highlight,60,6,1.5395472049713135,0
1,Highlight,60,6,0.5617654323577881,1
1,Highlight,60,6,0.20827746391296387,0
1,Highlight,60,6,0.8212642669677734,0
1,Highlight,60,6,0.41431593894958496,1
1,Highlight,60,6,2.788450002670288,1
1,Bubble,60,6,2.0149292945861816,1
1,Bubble,60,6,2.217803955078125,1
1,Bubble,60,6,0.6917757987976074,1
1,Bubble,60,6,1.8443102836608887,1
1,Bubble,60,6,0.9929163455963135,1
1,Rope,60,6,1.166323184967041,1
